PC1,PC2,Cluster,HC_Cluster,DBscan_Cluster
1.5115883120970341,-0.7693546329818646,2,1,1
0.24039814377504953,-0.9409582726896444,0,2,1
-0.9563419779723381,0.018873739715547264,1,3,0
0.563883676623528,-0.4623459687356818,0,1,1
-1.802409180427236,0.5780699475407843,1,3,0
-1.1181280659006578,-0.12608335347700592,1,0,0
1.5099784158709872,-1.5825435277293147,0,0,0
-2.1380539673795624,1.0202414129285584,1,3,0
0.8761520193047101,0.64053124143925,2,2,-1
-0.7204363437091807,-0.8809843978463201,0,2,1
-0.39557774704938675,-0.29310072162380724,0,0,0
-0.5789897722627003,0.3098901810070097,1,3,0
-1.9320030039967389,0.22988981310703194,1,3,0
2.4871179179715264,-1.8343065170472248,2,1,1
0.6707851813332922,0.921589245847525,1,0,0
-0.7660155549365749,-2.7736545051226362,0,0,0
-1.9133525115499619,-0.70286101283494,0,0,0
0.7411591054740936,1.9804600787981503,1,3,0
1.017537074489245,-0.767737736770971,0,0,0
0.7881816693936378,-0.6500963132584959,0,2,1
-0.9981555284054785,-0.61887647663105,0,0,0
-0.797303774873356,1.0897397519497625,1,3,0
2.1395312670062347,0.17389663719951687,2,1,1
1.4846693937249864,-1.4451412615860122,0,1,1
1.8723824625201135,-1.224611979248598,2,2,-1
-0.30456886219682267,-0.16563592060523866,1,0,0
-0.9123584220894427,-3.56968275162651,0,0,-1
3.8210225035272325,0.4175822890460987,2,1,1
-0.4847760839774282,1.0959938122596653,1,2,1
-0.462329324597618,0.10186211687202136,1,2,1
-0.42712541741638976,-0.5079718668615144,0,0,0
-1.5653221673664035,1.4077173799754834,1,2,1
-0.32039126483290636,-1.263643383149439,0,0,0
0.08858982095169256,-0.4353480165603875,0,0,0
-0.8529191484431197,0.19659858345002684,1,2,1
1.245658186425389,-3.1468859915764833,0,0,-1
0.2658484829132806,1.5427366845036803,1,3,0
-1.4444803233864592,0.5260647455655993,1,2,1
-0.726839533721522,-0.8804893262583764,0,0,0
-2.1786332563387094,0.02996702936472923,1,2,1
-1.4275042401713711,1.1791344810227153,1,3,0
0.28151324706293607,-0.8336941664455678,0,0,0
-1.6291216277312808,-0.3267828639802947,1,0,0
1.4732771609155753,-1.4179267959565907,0,1,1
2.679697466480654,2.485612159025965,2,1,1
2.66400827777031,1.5703908660721402,2,1,1
-2.159688173685973,0.5206287427321836,1,3,0
-1.7326559754580584,-0.15990009762462648,1,3,0
-1.1762094431297352,-2.08613925085597,0,0,0
-0.06184367597868516,0.27240287673484026,1,0,0
-1.7435381947613986,0.3109910975372851,1,3,0
-0.2153171717030226,1.7262519241633416,1,2,1
0.4872732669150664,-5.298262299197244,0,0,-1
-1.8027594632632329,1.2490393670094162,1,3,0
-1.210193498193072,-1.0318486224145238,0,0,0
-0.5733827078381339,0.7994567962318003,1,3,0
-1.4575298207427223,-0.18189545033572,1,0,0
3.6040467807407777,0.5397164651351692,2,1,-1
-1.2090969805041667,-0.5698723672138389,0,0,0
-0.06924810761837924,-0.5634004757462716,0,0,0
-1.5866929299610653,-0.7238040415148796,0,0,0
-1.7872475301821504,0.7346537896433347,1,2,1
-2.0123218320006306,0.5716636908271767,1,3,0
1.1447852890779975,0.5603224162995416,2,2,1
-0.00893774342269598,0.5722356379236333,1,2,-1
0.4598896205402585,0.3023221024940805,1,0,0
5.015712771950808,0.4110970053180429,2,1,-1
0.17636461372197915,-0.6309406317192712,0,0,0
0.6852133009309239,-0.03067361136017745,0,0,0
0.613420367369739,1.4091120318208477,1,3,0
-0.27404764316186825,-0.8972593464455024,0,0,0
0.1076538104745481,1.079688399238411,1,2,1
-1.2642146814000355,0.24622430328545547,1,3,0
1.7239560181452749,0.8174837808011243,2,2,1
-0.5249425081941941,2.0081892074807857,1,3,0
-1.6932892520463732,-1.3169739661580215,0,0,0
-1.4423465925201038,0.18987412004562357,1,3,0
0.39460058327457553,1.4456491350228051,1,3,0
1.1191136812277758,-0.5583100818445571,0,2,1
1.1821913298099154,-0.9810049066675856,0,2,1
0.2374417239003921,1.5731453957053858,1,2,1
0.2811948289417947,1.6426765181538354,1,3,0
0.013594438184224844,1.2133839005573939,1,2,1
-0.9766901765693238,0.3385113524882636,1,3,0
-0.3399943610792047,-1.1567998438693516,0,0,0
0.7147988741749742,0.6035706137180501,1,3,0
-0.8000228606044897,-1.823138912443232,0,0,0
-1.685653765748477,-0.27451712143235313,1,0,0
-1.434859842110689,-1.0034083507179283,0,0,0
-0.5633413739799018,1.3395298131162925,1,3,0
-1.606021724449504,0.3720181662470425,1,3,0
0.15042909421121578,-3.0413453249593734,0,0,0
1.7923633787941797,2.1908915304772845,2,1,1
-2.32609876048808,0.782026682440094,1,3,0
-0.11949631802990189,-0.6284408019807884,0,0,1
-0.8517872610622014,-0.07783881769676472,1,2,1
-1.3450155201410918,1.2906695468794194,1,3,0
-1.1010785526412048,0.2933422450217604,1,3,0
1.635147513778182,0.4747645180391206,2,1,1
-2.27113924922696,0.36188712583369015,1,0,0
-0.489063074474422,-1.371518125844862,0,0,0
-0.7158008698483135,0.23560375682822032,1,3,0
-1.7946930718163783,-0.6175276119478537,1,0,0
-0.49612978880012437,0.20929168792713085,1,3,0
1.4905576849234743,-1.354046742077557,0,0,0
0.7440563952930793,-0.550495591133826,0,0,1
-2.0123218320006306,0.5716636908271767,1,3,0
-0.5725077705217665,0.347085239187339,1,3,0
-1.191175410667278,-0.4209666485606685,1,0,0
-0.9558156398332566,-1.2631551445625688,0,2,1
